id,name,car_maker_id
352,Roadmaster,6
353,Rodeo,22
354,Rondo,25
355,Routan,53
356,RVR,38
357,RX,28
358,RX Hybrid,28
359,RX-7,33
360,RX-8,33
361,S-Class,34
362,S-Series,47
363,S-Type,23
364,S10,8
365,S2000,18
366,S40,54
367,S5,3
368,S6,3
369,S60,54
370,S70,54
371,S8,3
372,S80,54
373,Sable,35
374,Safari,42
375,Safari,17
376,Samurai,51
377,Santa Fe,20
378,Savana 1500,17
379,Savana 2500,17
380,Savana 3500,17
381,SC,28
382,Sebring,9
383,Sedona,25
384,Sentra,39
385,Sephia,25
386,Seville,7
387,Shadow,12
388,Sienna,52
389,Sierra 1500,17
390,Sierra 2500,17
391,Sierra 2500HD,17
392,Sierra 3500,17
393,Sierra Denali,17
394,Silhouette,40
395,Silverado,8
396,Silverado 1500,8
397,Silverado 2500,8
398,Silverado 3500,8
399,SJ,51
400,Skylark,6
401,SL-Class,34
402,SLK-Class,34
403,SLX,1
404,Solstice,42
405,Somerset,6
406,Sonata,20
407,Sonoma Club Coupe,17
408,Sorento,25
409,Soul,25
410,Space,38
411,Space,22
412,Spectra,25
413,Spirit,12
414,Sportage,25
415,Sportvan G20,8
416,Sprinter 2500,34
417,Sprinter 3500,34
418,Spyder,31
419,Starion,38
420,Sterling,27
421,Stratus,12
422,STS,7
423,Suburban,8
424,Suburban 1500,8
425,Suburban 2500,8
426,Suburban 2500,17
427,Sunbird,42
428,Sundance,41
429,Sunfire,42
430,Supra,52
431,SVX,50
432,Swift,51
433,Tacoma,52
434,Tacoma Xtra,52
435,Tahoe,8
436,Taurus,15
437,tC,48
438,Thunderbird,15
439,Tiburon,20
440,Tiguan,53
441,Titan,39
442,TL,1
443,Topaz,35
444,Touareg,53
445,Town & Country,9
446,Town Car,29
447,Tracer,35
448,Tracker,8
449,Tracker,16
450,TrailBlazer,8
451,Trans Sport,42
452,Tredia,38
453,Trooper,22
454,Truck,38
455,TSX,1
456,TT,3
457,Tucson,20
458,Tundra,52
459,TundraMax,52
460,Type 2,53
461,V12 Vantage,2
462,V40,54
463,V50,54
464,V8,3
465,V8 Vantage,2
466,Vandura 2500,17
467,Vandura 3500,17
468,Vandura G3500,17
469,Vanquish S,2
470,VehiCROSS,22
471,Verona,51
472,Vibe,42
473,Villager,35
474,Viper,12
475,Viper RT/10,12
476,Vision,13
477,Vitara,51
478,Volare,41
479,VUE,47
480,W126,34
481,W201,34
482,Wrangler,24
483,X-90,51
484,X-Type,23
485,X5,5
486,X6 M,5
487,xB,48
488,XC70,54
489,XC90,54
490,xD,48
491,XJ Series,23
492,XK Series,23
493,XL-7,51
494,XLR,7
495,XT,50
496,Xterra,39
497,Xtra,52
498,Yukon,17
499,Yukon XL 1500,17
500,Yukon XL 2500,17
501,Z3,5
502,Z4,5
503,Z8,5
